date,location,time,site,plot,impact,nh4,no3.no2,srp,din,doc,vol.col.l,vol.col.mm
13-Jul-16,Moonbeam,8,MB,1,Low,0.011516248,0.028434862,2.177330906,0.03995111,86.6,,
13-Jul-16,Moonbeam,8,MB,2,Low,0.007750752,0.013142775,213.6500006,0.020893527,460.5,,
13-Jul-16,Moonbeam,8,MB,3,Low,0.007307489,0.012334996,2.204068487,0.019642486,106.8,,
13-Jul-16,Stand Up,8,SU,1,Low,,,,,,0.3,9.250899187
13-Jul-16,Stand Up,8,SU,2,Low,,,,,,0.28,8.634172575
13-Jul-16,Stand Up,8,SU,3,Low,0.009874832,0.021350549,0.844143048,0.031225381,81.4,,
13-Jul-16,Jungle,8,JC,1,Low,0.01232218,0.025830472,1.737746141,0.038152652,154.6,,
13-Jul-16,Jungle,8,JC,2,Low,0.041689465,0.106742973,127.9283686,0.148432438,,,
13-Jul-16,Jungle,8,JC,3,Low,,,,,,,
21-Jul-16,Cougar,9,BG,1,High,,,,,,,
21-Jul-16,Cougar,9,BG,2,High,0.043592976,0.057833363,1.184861445,0.101426339,115.8,,
21-Jul-16,Cougar,9,BG,3,High,0.049219355,0.115991147,1.168797586,0.165210502,276.4,,
21-Jul-16,Hurley,9,HU,1,High,0.023718069,0.071191457,1.085423697,0.094909526,195.4,,
21-Jul-16,Hurley,9,HU,2,High,0.012555428,0.042218358,0.865919303,0.054773786,74.4,,
21-Jul-16,Hurley,9,HU,3,High,0.027256889,0.045782397,0.597442338,0.073039286,71.3,,
21-Jul-16,Hovey,9,HO,1,High,0.012065667,0.043934551,1.02794743,0.056000218,87.3,0.24,7.40071935
21-Jul-16,Hovey,9,HO,2,High,0.01232191,0.109225115,0.981946197,0.121547025,91.2,0.24,7.40071935
21-Jul-16,Hovey,9,HO,3,High,0.004127615,0.046233779,0.681775618,0.050361394,82.6,,
21-Jul-16,Blue,9,BC,1,High,0.040972557,0.083435201,1.172460717,0.124407758,,,
21-Jul-16,Blue,9,BC,2,High,,,,,,,
21-Jul-16,Blue,9,BC,3,High,,,,,,,
21-Jul-16,Jack,9,JA,1,Low,0.002507093,0.030035738,0.643057039,0.032542831,90.8,,
21-Jul-16,Jack,9,JA,2,Low,0.003334593,0.030886782,0.778168686,0.034221376,71.2,,
21-Jul-16,Jack,9,JA,3,Low,,0.027886971,0.12609968,0.027886971,51.1,,
21-Jul-16,Moonbeam,9,MB,1,Low,,0.014989663,0.239032339,0.014989663,37.7,,
21-Jul-16,Moonbeam,9,MB,2,Low,,0.018506683,0.362248722,0.018506683,51.8,,
21-Jul-16,Moonbeam,9,MB,3,Low,,0.041265625,0.191917102,0.041265625,21.1,,
21-Jul-16,Stand Up,9,SU,1,Low,,,,,,0.84,25.90251772
21-Jul-16,Stand Up,9,SU,2,Low,0.003023497,0.028916687,0.517868353,0.031940184,273.3,0.91,28.06106087
21-Jul-16,Stand Up,9,SU,3,Low,,0.019574014,0.144466872,0.019574014,20.2,,
21-Jul-16,Jungle,9,JC,1,Low,0.004441062,0.038616703,0.316693488,0.043057766,23.7,,
21-Jul-16,Jungle,9,JC,2,Low,,,,,,,
21-Jul-16,Jungle,9,JC,3,Low,0.007547325,0.041813995,0.970861658,0.049361319,73.1,,
19-Sep-16,Cougar,10,BG,1,High,,,,,,,
19-Sep-16,Cougar,10,BG,2,High,0.063987953,0.043934551,2.57417394,0.107922503,112.3,,
19-Sep-16,Cougar,10,BG,3,High,,,,,,,
19-Sep-16,Hovey,10,HO,1,High,,,,,,,
19-Sep-16,Hovey,10,HO,2,High,0.034056656,0.05066767,6.006935292,0.084724326,120.8,,
19-Sep-16,Hovey,10,HO,3,High,0.012934967,0.045514389,2.814457115,0.058449355,81.6,,
19-Sep-16,Blue,10,BC,1,High,0.068208699,0.070368625,5.236899071,0.138577324,129,,
19-Sep-16,Blue,10,BC,2,High,0.083079625,0.035287759,2.505162855,0.118367384,99.7,,
19-Sep-16,Blue,10,BC,3,High,,,,,,,
19-Sep-16,Hurley,10,HU,1,High,,,,,,,
19-Sep-16,Hurley,10,HU,2,High,,,,,,,
19-Sep-16,Hurley,10,HU,3,High,,,,,,,
19-Sep-16,Moonbeam,10,MB,1,Low,,,,,,,
19-Sep-16,Moonbeam,10,MB,2,Low,,0.043074103,1.519931814,0.043074103,676.8,,
19-Sep-16,Moonbeam,10,MB,3,Low,0.02763261,0.029452703,2.03447248,0.057085313,76.3,,
19-Sep-16,Jungle,10,JC,1,Low,0.019465856,0.027976307,1.023694298,0.047442163,62.2,,
19-Sep-16,Jungle,10,JC,2,Low,,,,,,,
19-Sep-16,Jungle,10,JC,3,Low,,,,,,,
19-Sep-16,Jack,10,JA,1,Low,,,,,,,
19-Sep-16,Jack,10,JA,2,Low,,,,,,,
19-Sep-16,Jack,10,JA,3,Low,,,,,,,
19-Sep-16,Stand Up,10,SU,1,Low,,,,,,,
19-Sep-16,Stand Up,10,SU,2,Low,,,,,,0.31,9.559262494
19-Sep-16,Stand Up,10,SU,3,Low,,,,,,,
